Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-96.711,-91.271,-98.71,-49.947,4,0.35938,-0.53828,-0.51719
-94.919,-90.531,-99.586,-49.354,4,0.89427,-0.40069,-0.22222
-93.366,-89.502,-100.22,-49.367,4,0.91641,-0.17266,-0.23021
-92.317,-88.387,-100.42,-49.93,4,0.90312,-0.24492,-0.2168
-91.906,-87.359,-100.09,-50.815,4,0.91026,-0.21185,-0.22346
-92.097,-86.521,-99.281,-51.715,4,0.91547,-0.19016,-0.22016
-92.707,-85.889,-98.176,-52.361,4,0.89375,-0.2138,-0.25417
-93.453,-85.409,-97.007,-52.605,4,0.9109,-0.1766,-0.23861
-94.039,-85.001,-95.989,-52.46,4,0.90694,-0.19757,-0.24618
-94.231,-84.611,-95.255,-52.066,4,0.91107,-0.17643,-0.23607
-93.919,-84.238,-94.82,-51.614,4,0.90937,-0.17083,-0.2309
-93.142,-83.941,-94.596,-51.256,4,0.90625,-0.18352,-0.24328
-92.068,-83.81,-94.434,-51.033,4,0.90625,-0.1875,-0.25
-90.946,-83.923,-94.19,-50.868,4,0.90625,-0.19148,-0.24227
-90.035,-84.299,-93.784,-50.602,4,0.90736,-0.1809,-0.24632
-89.542,-84.871,-93.227,-50.09,4,0.90625,-0.1775,-0.24672
-89.573,-85.496,-92.621,-49.283,4,0.90729,-0.18281,-0.23802
-90.12,-85.993,-92.113,-48.291,4,0.90625,-0.18557,-0.24182
-91.076,-86.204,-91.845,-47.374,4,0.90687,-0.17625,-0.24594
-92.272,-86.052,-91.898,-46.864,4,0.90865,-0.17385,-0.23984
-93.527,-85.576,-92.272,-47.051,4,0.90736,-0.18125,-0.23396
-94.683,-84.93,-92.884,-48.051,4,0.90625,-0.17406,-0.23698
-95.634,-84.332,-93.61,-49.728,4,0.90687,-0.18234,-0.22859
-96.328,-83.999,-94.326,-51.7,4,0.90807,-0.18411,-0.21953
-96.754,-84.071,-94.953,-53.425,4,0.90312,-0.31917,-0.19177
-96.921,-84.559,-95.473,-54.365,4,0.022656,-0.47344,-0.77969
-96.837,-85.338,-95.916,-54.164,4,0.0014062,-0.49516,-0.78828
-96.501,-86.181,-96.323,-52.786,4,0.3775,-0.54458,-0.56833
-95.905,-86.831,-96.708,-50.555,4,0.91354,-0.3599,-0.16042
-95.055,-87.086,-97.029,-48.085,4,0.91007,-0.23403,-0.17344
-93.983,-86.864,-97.193,-46.102,4,0.91719,-0.19922,-0.1875
-92.768,-86.223,-97.096,-45.221,4,0.91328,-0.19557,-0.2013
-91.54,-85.344,-96.679,-45.735,4,0.92313,-0.16917,-0.1924
-90.459,-84.463,-95.99,-47.498,4,0.9243,-0.18102,-0.19375
-89.696,-83.79,-95.198,-49.942,4,0.92359,-0.18313,-0.1875
-89.385,-83.441,-94.58,-52.231,4,0.92778,-0.17931,-0.19861
-89.592,-83.403,-94.435,-53.515,4,0.91806,-0.17604,-0.20208
