Sensor 1,Sensor 2,Sensor 3,Sensor 4,Room,AccX,AccY,AccZ
-90.25,-84,-98,-70,4,0.95273,0.23398,0.018359
-96.75,-82.75,-91,-64.833,4,0.92917,0.21458,0.010807
-91.667,-82.333,-97,-68.6,4,0.93969,0.21547,0.010573
-87.5,-84.2,-100,-66.8,4,0.93885,0.21833,0.0022917
-90.333,-81.75,-100,-71,4,0.92622,0.27778,-0.031597
-85,-91.333,-92,-64.6,4,0.92146,0.34023,-0.061536
-103,-89,-85,-66.25,4,0.55273,0.59453,0.37461
-87,-100,-100,-65.667,4,0.62813,0.36875,0.65521
-100,-86,-100,-60.25,4,0.67422,0.26953,0.67031
-100,-90,-100,-63.8,4,0.65437,0.26687,0.6975
-100,-100,-100,-65,4,0.65208,0.25208,0.71042
-90,-100,-100,-61.5,4,0.65156,0.22891,0.72109
-100,-100,-100,-54.667,4,0.65417,0.23333,0.71042
-100,-100,-100,-62.75,4,0.65469,0.23906,0.71719
-100,-100,-100,-60,4,0.65417,0.25,0.72083
-100,-90,-100,-70,4,0.66563,0.24792,0.69792
-100,-100,-100,-59.333,4,0.65417,0.24583,0.7125
-89,-100,-89,-61.6,4,0.6525,0.24958,0.71875
-100,-100,-100,-65.5,4,0.65781,0.24844,0.7125
-100,-93,-100,-57,4,0.64688,0.25156,0.71406
-89,-100,-100,-53.75,4,0.72734,0.50234,0.44219
-100,-100,-100,-54.25,4,0.70469,0.46719,0.49219
-86,-100,-100,-54.2,4,0.67375,0.4625,0.545
-100,-100,-100,-54.75,4,0.65469,0.47187,0.56406
-100,-100,-100,-55.4,4,0.6675,0.44375,0.56625
-100,-94,-100,-62.5,4,0.68359,0.43906,0.54297
-100,-100,-100,-54.333,4,0.67083,0.46458,0.54375
-88,-100,-100,-53,4,0.67266,0.45781,0.54688
-100,-100,-100,-55.2,4,0.67625,0.465,0.535
-92.5,-100,-100,-56,4,0.67406,0.47562,0.53625
-88,-94,-100,-58,4,0.69722,0.43264,0.52986
-100,-100,-100,-51.75,4,0.6875,0.48906,0.48281
-100,-100,-100,-54,4,0.67875,0.50375,0.49
-100,-90,-100,-52.75,4,0.65859,0.52812,0.49766
-100,-100,-100,-52.5,4,0.66719,0.51094,0.48906
-100,-100,-100,-52.25,4,0.66563,0.51563,0.49531
-100,-100,-100,-52,4,0.66406,0.51875,0.49219
-91,-100,-100,-61.6,4,0.66625,0.52,0.48313
-87.333,-100,-100,-64,4,0.59583,0.30146,0.73417
-91.667,-100,-101,-59.667,4,0.60903,0.070139,0.79097
-88,-100,-90,-66.4,4,0.59417,0.0875,0.80875
-86.5,-100,-100,-67.5,4,0.6125,0.066406,0.79375
-87,-100,-100,-59.4,4,0.63,0.10187,0.76812
-102,-100,-100,-70.333,4,0.62604,0.14063,0.77396
-92.2,-100,-97,-62.667,4,0.62722,0.14014,0.76625
-100,-100,-86,-65.2,4,0.6025,0.15406,0.78
-87,-100,-100,-63.8,4,0.60062,0.15563,0.78563
-100,-100,-100,-69.6,4,0.2175,0.26125,0.815
-100,-100,-95,-77.25,4,-0.57656,-0.084375,0.72891
-100,-100,-88,-74.5,4,-0.64219,-0.075781,0.76094
-100,-100,-77,-64.5,4,-0.575,-0.12812,0.74844
-100,-100,-100,-63.25,4,0.5125,0.41406,0.76875
-100,-100,-100,-65.5,4,0.61146,0.20208,0.7625
-100,-100,-100,-62.833,4,0.59896,0.20833,0.77292
-100,-100,-100,-62.8,4,0.6025,0.2075,0.775
-100,-100,-100,-59.4,4,0.595,0.21125,0.78
-100,-100,-100,-58.667,4,0.59375,0.21667,0.78125
-100,-100,-100,-61.333,4,0.59375,0.2125,0.77917
-100,-100,-100,-62.8,4,0.5975,0.2125,0.7775
-100,-100,-100,-61,4,0.59688,0.2125,0.77812
-100,-100,-100,-57,4,0.60313,0.21563,0.775
-100,-100,-100,-59.25,4,0.59531,0.21719,0.77969
-100,-100,-100,-65,4,0.59688,0.21719,0.78125
-100,-100,-100,-62.2,4,0.5975,0.2175,0.7725
-100,-100,-100,-58.333,4,0.59583,0.21458,0.78125
-100,-100,-100,-65.5,4,0.59375,0.20781,0.77969
-100,-100,-100,-61.5,4,0.59219,0.20625,0.78281
-99,-100,-100,-63.8,4,0.58688,0.21437,0.78875
-95.5,-100,-100,-64.667,4,0.56875,0.18281,0.81198
-100,-100,-100,-61.6,4,0.56375,0.17625,0.81375
-100,-100,-100,-62,4,0.57292,0.19375,0.80625
-90.2,-100,-100,-65.75,4,0.54391,0.28281,0.79094
-94.5,-100,-101,-67.667,4,0.39236,0.40833,0.82674
-100,-90,-100,-58.167,4,0.1349,0.47396,0.88073
-100,-100,-100,-63.25,4,0.44062,0.32656,0.82969
-102,-100,-100,-57,4,0.44375,0.3125,0.85104
-88,-100,-100,-63.8,4,0.37687,0.33625,0.87312
-102,-100,-100,-64,4,0.40729,0.30625,0.87083
-100,-100,-100,-68,4,0.405,0.31125,0.875
-100,-100,-100,-61.75,4,0.40313,0.30312,0.87344
-95,-100,-100,-66,4,0.49062,0.25,0.84583
-101,-100,-100,-65.25,4,0.42578,0.29688,0.87266
-100,-100,-100,-62.4,4,0.4,0.3125,0.875
-100,-100,-100,-63.333,4,0.42292,0.3,0.8625
-92,-100,-100,-70.5,4,0.40781,0.30859,0.875
-100,-100,-100,-64.4,4,0.40375,0.30625,0.875
-100,-100,-100,-65.25,4,0.39375,0.30781,0.875
-100,-100,-100,-65.75,4,0.37969,0.3125,0.875
-100,-100,-100,-60,4,0.3925,0.31125,0.8725
-94.5,-100,-100,-55,4,0.39687,0.3125,0.875
-100,-100,-100,-69.25,4,0.40625,0.3125,0.875
-100,-100,-100,-62.4,4,0.38625,0.3125,0.87625
